Room   1:   0 - 556 | Satisfaction:   95%. 
Room 203: 242 - 389 | Satisfaction:  100%. 
Room 204: 243 - 643 | Satisfaction:   95%. 
Room 205: 244 - 840 | Satisfaction:  100%. 
Room 206: 246 - 341 | Satisfaction:  100%. 
Room 207: 247 - 590 | Satisfaction:   95%. 
Room 208: 249 - 468 | Satisfaction:   95%. 
Room 209: 250 - 411 | Satisfaction:  100%. 
Room 210: 252 - 654 | Satisfaction:   90%. 
Room 211: 253 - 315 | Satisfaction:   95%. 
Room 212: 258 - 532 | Satisfaction:   95%. 
Room 213: 261 - 538 | Satisfaction:   95%. 
Room 214: 262 - 506 | Satisfaction:   95%. 
Room 215: 263 - 815 | Satisfaction:  100%. 
Room 216: 265 - 808 | Satisfaction:  100%. 
Room 217: 266 - 293 | Satisfaction:   90%. 
Room 218: 268 - 692 | Satisfaction:  100%. 
Room 219: 269 - 467 | Satisfaction:  100%. 
Room 220: 270 - 529 | Satisfaction:   90%. 
Room 221: 271 - 373 | Satisfaction:   90%. 
Room 222: 272 - 437 | Satisfaction:   90%. 
Room 223: 273 - 890 | Satisfaction:   95%. 
Room 224: 274 - 778 | Satisfaction:  100%. 
Room 225: 276 - 448 | Satisfaction:   90%. 
Room 226: 278 - 475 | Satisfaction:   95%. 
Room 227: 279 - 452 | Satisfaction:   95%. 
Room 228: 281 - 551 | Satisfaction:   90%. 
Room 229: 283 - 821 | Satisfaction:   95%. 
Room 230: 284 - 686 | Satisfaction:   95%. 
Room 231: 285 - 726 | Satisfaction:   90%. 
Room 232: 286 - 401 | Satisfaction:   95%. 
Room 233: 287 - 725 | Satisfaction:   95%. 
Room 234: 288 - 432 | Satisfaction:   95%. 
Room 235: 289 - 818 | Satisfaction:  100%. 
Room 236: 290 - 412 | Satisfaction:  100%. 
Room 237: 292 - 429 | Satisfaction:  100%. 
Room 238: 296 - 787 | Satisfaction:   95%. 
Room 239: 297 - 835 | Satisfaction:  100%. 
Room 240: 299 - 742 | Satisfaction:   95%. 
Room 241: 300 - 330 | Satisfaction:   95%. 
Room 242: 301 - 317 | Satisfaction:   95%. 
Room 243: 302 - 544 | Satisfaction:   95%. 
Room 244: 304 - 377 | Satisfaction:   95%. 
Room 245: 305 - 796 | Satisfaction:  100%. 
Room 246: 306 - 381 | Satisfaction:   90%. 
Room 247: 309 - 874 | Satisfaction:   95%. 
Room 248: 310 - 363 | Satisfaction:   95%. 
Room 249: 312 - 882 | Satisfaction:  100%. 
Room 250: 313 - 642 | Satisfaction:  100%. 
Room 251: 314 - 419 | Satisfaction:  100%. 
Room 252: 316 - 903 | Satisfaction:   95%. 
Room 253: 318 - 541 | Satisfaction:  100%. 
Room 254: 321 - 826 | Satisfaction:   95%. 
Room 255: 322 - 641 | Satisfaction:  100%. 
Room 256: 323 - 741 | Satisfaction:  100%. 
Room 257: 325 - 339 | Satisfaction:   95%. 
Room 258: 327 - 563 | Satisfaction:   95%. 
Room 259: 328 - 334 | Satisfaction:   95%. 
Room 260: 329 - 762 | Satisfaction:   95%. 
Room 261: 332 - 474 | Satisfaction:  100%. 
Room 262: 333 - 834 | Satisfaction:   95%. 
Room 263: 335 - 428 | Satisfaction:   95%. 
Room 264: 337 - 573 | Satisfaction:   95%. 
Room 265: 342 - 759 | Satisfaction:  100%. 
Room 266: 343 - 685 | Satisfaction:   95%. 
Room 267: 344 - 469 | Satisfaction:  100%. 
Room 268: 345 - 476 | Satisfaction:   95%. 
Room 269: 346 - 850 | Satisfaction:   95%. 
Room 270: 347 - 664 | Satisfaction:   95%. 
Room 271: 348 - 828 | Satisfaction:  100%. 
Room 272: 350 - 434 | Satisfaction:   90%. 
Room 273: 351 - 861 | Satisfaction:  100%. 
Room 274: 352 - 594 | Satisfaction:   90%. 
Room 275: 353 - 383 | Satisfaction:   95%. 
Room 276: 354 - 782 | Satisfaction:  100%. 
Room 277: 355 - 848 | Satisfaction:   95%. 
Room 278: 358 - 420 | Satisfaction:  100%. 
Room 279: 359 - 431 | Satisfaction:   95%. 
Room 280: 360 - 620 | Satisfaction:   90%. 
Room 281: 361 - 376 | Satisfaction:  100%. 
Room 282: 364 - 375 | Satisfaction:   95%. 
Room 283: 365 - 486 | Satisfaction:   95%. 
Room 284: 367 - 708 | Satisfaction:  100%. 
Room 285: 368 - 527 | Satisfaction:   90%. 
Room 286: 369 - 562 | Satisfaction:   95%. 
Room 287: 370 - 924 | Satisfaction:   95%. 
Room 288: 371 - 424 | Satisfaction:   90%. 
Room 289: 372 - 477 | Satisfaction:   95%. 
Room 290: 374 - 621 | Satisfaction:   95%. 
Room 291: 378 - 710 | Satisfaction:  100%. 
Room 292: 380 - 546 | Satisfaction:   95%. 
Room 293: 382 - 965 | Satisfaction:   95%. 
Room 294: 384 - 616 | Satisfaction:  100%. 
Room 295: 387 - 645 | Satisfaction:  100%. 
Room 296: 388 - 960 | Satisfaction:   95%. 
Room 297: 390 - 853 | Satisfaction:   90%. 
Room 298: 391 - 421 | Satisfaction:   95%. 
Room 299: 392 - 552 | Satisfaction:   95%. 
Room 300: 394 - 823 | Satisfaction:   95%. 
Room 301: 397 - 876 | Satisfaction:   95%. 
Room 302: 398 - 891 | Satisfaction:  100%. 
Room 303: 399 - 521 | Satisfaction:   95%. 
Room 304: 400 - 670 | Satisfaction:   95%. 
Room 305: 402 - 739 | Satisfaction:   95%. 
Room 306: 405 - 439 | Satisfaction:   90%. 
Room 307: 407 - 862 | Satisfaction:  100%. 
Room 308: 408 - 524 | Satisfaction:   90%. 
Room 309: 410 - 500 | Satisfaction:   95%. 
Room 310: 414 - 558 | Satisfaction:   95%. 
Room 311: 415 - 548 | Satisfaction:  100%. 
Room 312: 416 - 951 | Satisfaction:   95%. 
Room 313: 417 - 730 | Satisfaction:   95%. 
Room 314: 418 - 455 | Satisfaction:   95%. 
Room 315: 422 - 508 | Satisfaction:   85%. 
Room 316: 423 - 628 | Satisfaction:  100%. 
Room 317: 425 - 897 | Satisfaction:   95%. 
Room 318: 427 - 981 | Satisfaction:   95%. 
Room 319: 430 - 751 | Satisfaction:  100%. 
Room 320: 435 - 540 | Satisfaction:  100%. 
Room 321: 436 - 582 | Satisfaction:   95%. 
Room 322: 438 - 652 | Satisfaction:   95%. 
Room 323: 441 - 722 | Satisfaction:  100%. 
Room 324: 443 - 463 | Satisfaction:  100%. 
Room 325: 444 - 872 | Satisfaction:   95%. 
Room 326: 445 - 579 | Satisfaction:   95%. 
Room 327: 447 - 565 | Satisfaction:   95%. 
Room 328: 449 - 750 | Satisfaction:   90%. 
Room 329: 450 - 904 | Satisfaction:   95%. 
Room 330: 451 - 626 | Satisfaction:  100%. 
Room 331: 453 - 537 | Satisfaction:   85%. 
Room 332: 454 - 705 | Satisfaction:  100%. 
Room 333: 456 - 832 | Satisfaction:   95%. 
Room 334: 457 - 651 | Satisfaction:   95%. 
Room 335: 458 - 978 | Satisfaction:   85%. 
Room 336: 459 - 515 | Satisfaction:   95%. 
Room 337: 460 - 831 | Satisfaction:  100%. 
Room 338: 461 - 983 | Satisfaction:  100%. 
Room 339: 464 - 898 | Satisfaction:   95%. 
Room 340: 465 - 576 | Satisfaction:   90%. 
Room 341: 472 - 518 | Satisfaction:   95%. 
Room 342: 473 - 531 | Satisfaction:   95%. 
Room 343: 478 - 598 | Satisfaction:   95%. 
Room 344: 479 - 858 | Satisfaction:   95%. 
Room 345: 481 - 631 | Satisfaction:   95%. 
Room 346: 482 - 911 | Satisfaction:  100%. 
Room 347: 483 - 687 | Satisfaction:   85%. 
Room 348: 487 - 703 | Satisfaction:   95%. 
Room 349: 488 - 671 | Satisfaction:  100%. 
Room 350: 490 - 847 | Satisfaction:  100%. 
Room 351: 491 - 783 | Satisfaction:  100%. 
Room 352: 492 - 543 | Satisfaction:   95%. 
Room 353: 495 - 854 | Satisfaction:   85%. 
Room 354: 496 - 985 | Satisfaction:   95%. 
Room 355: 497 - 650 | Satisfaction:   95%. 
Room 356: 498 - 574 | Satisfaction:   95%. 
Room 357: 499 - 773 | Satisfaction:  100%. 
Room 358: 501 - 916 | Satisfaction:  100%. 
Room 359: 502 - 514 | Satisfaction:   95%. 
Room 360: 503 - 612 | Satisfaction:  100%. 
Room 361: 505 - 780 | Satisfaction:   95%. 
Room 362: 507 - 922 | Satisfaction:   90%. 
Room 363: 511 - 977 | Satisfaction:  100%. 
Room 364: 516 - 580 | Satisfaction:   90%. 
Room 365: 517 - 674 | Satisfaction:   90%. 
Room 366: 523 - 719 | Satisfaction:   85%. 
Room 367: 525 - 553 | Satisfaction:   95%. 
Room 368: 526 - 614 | Satisfaction:  100%. 
Room 369: 530 - 660 | Satisfaction:  100%. 
Room 370: 534 - 764 | Satisfaction:   95%. 
Room 371: 536 - 799 | Satisfaction:   95%. 
Room 372: 545 - 825 | Satisfaction:  100%. 
Room 373: 547 - 966 | Satisfaction:   95%. 
Room 374: 550 - 640 | Satisfaction:   90%. 
Room 375: 554 - 734 | Satisfaction:   95%. 
Room 376: 560 - 923 | Satisfaction:  100%. 
Room 377: 561 - 851 | Satisfaction:   95%. 
Room 378: 564 - 633 | Satisfaction:   95%. 
Room 379: 566 - 785 | Satisfaction:  100%. 
Room 380: 569 - 953 | Satisfaction:  100%. 
Room 381: 572 - 931 | Satisfaction:   90%. 
Room 382: 575 - 943 | Satisfaction:   90%. 
Room 383: 577 - 581 | Satisfaction:   90%. 
Room 384: 578 - 749 | Satisfaction:   90%. 
Room 385: 583 - 959 | Satisfaction:  100%. 
Room 386: 584 - 829 | Satisfaction:  100%. 
Room 387: 585 - 738 | Satisfaction:   95%. 
Room 388: 586 - 803 | Satisfaction:   90%. 
Room 389: 588 - 675 | Satisfaction:   90%. 
Room 390: 591 - 920 | Satisfaction:   95%. 
Room 391: 593 - 812 | Satisfaction:   95%. 
Room 392: 601 - 933 | Satisfaction:   95%. 
Room 393: 604 - 804 | Satisfaction:   95%. 
Room 394: 605 - 984 | Satisfaction:  100%. 
Room 395: 607 - 697 | Satisfaction:  100%. 
Room 396: 608 - 630 | Satisfaction:   90%. 
Room 397: 610 - 971 | Satisfaction:  100%. 
Room 398: 617 - 919 | Satisfaction:   90%. 
Room 399: 618 - 774 | Satisfaction:  100%. 
Room 400: 622 - 657 | Satisfaction:   90%. 
Room 401: 623 - 714 | Satisfaction:   95%. 
Room 402: 625 - 707 | Satisfaction:   90%. 
Room 403: 627 - 887 | Satisfaction:   90%. 
Room 404: 632 - 979 | Satisfaction:  100%. 
Room 405: 634 - 721 | Satisfaction:   85%. 
Room 406: 638 - 880 | Satisfaction:   95%. 
Room 407: 639 - 735 | Satisfaction:   95%. 
Room 408: 644 - 948 | Satisfaction:   95%. 
Room 409: 646 - 678 | Satisfaction:   95%. 
Room 410: 647 - 763 | Satisfaction:   90%. 
Room 411: 649 - 677 | Satisfaction:   95%. 
Room 412: 653 - 986 | Satisfaction:   85%. 
Room 413: 655 - 830 | Satisfaction:   95%. 
Room 414: 656 - 896 | Satisfaction:   85%. 
Room 415: 661 - 962 | Satisfaction:   95%. 
Room 416: 662 - 711 | Satisfaction:   95%. 
Room 417: 663 - 744 | Satisfaction:   90%. 
Room 418: 665 - 976 | Satisfaction:   95%. 
Room 419: 667 - 805 | Satisfaction:   95%. 
Room 420: 668 - 905 | Satisfaction:   80%. 
Room 421: 669 - 801 | Satisfaction:   95%. 
Room 422: 672 - 909 | Satisfaction:   95%. 
Room 423: 679 - 700 | Satisfaction:   95%. 
Room 424: 682 - 863 | Satisfaction:   95%. 
Room 425: 683 - 766 | Satisfaction:   90%. 
Room 426: 684 - 956 | Satisfaction:   95%. 
Room 427: 688 - 755 | Satisfaction:   90%. 
Room 428: 690 - 940 | Satisfaction:  100%. 
Room 429: 691 - 797 | Satisfaction:   95%. 
Room 430: 693 - 786 | Satisfaction:   95%. 
Room 431: 694 - 769 | Satisfaction:   95%. 
Room 432: 698 - 754 | Satisfaction:   95%. 
Room 433: 701 - 881 | Satisfaction:   90%. 
Room 434: 702 - 999 | Satisfaction:   95%. 
Room 435: 706 - 944 | Satisfaction:   95%. 
Room 436: 709 - 809 | Satisfaction:   95%. 
Room 437: 715 - 899 | Satisfaction:   95%. 
Room 438: 716 - 817 | Satisfaction:   90%. 
Room 439: 717 - 932 | Satisfaction:   90%. 
Room 440: 718 - 758 | Satisfaction:   90%. 
Room 441: 723 - 775 | Satisfaction:  100%. 
Room 442: 727 - 793 | Satisfaction:   95%. 
Room 443: 728 - 813 | Satisfaction:   95%. 
Room 444: 731 - 870 | Satisfaction:   95%. 
Room 445: 732 - 843 | Satisfaction:   95%. 
Room 446: 733 - 867 | Satisfaction:   90%. 
Room 447: 737 - 864 | Satisfaction:   95%. 
Room 448: 743 - 918 | Satisfaction:   90%. 
Room 449: 746 - 907 | Satisfaction:  100%. 
Room 450: 747 - 873 | Satisfaction:   90%. 
Room 451: 748 - 955 | Satisfaction:   90%. 
Room 452: 752 - 776 | Satisfaction:   90%. 
Room 453: 753 - 838 | Satisfaction:  100%. 
Room 454: 756 - 810 | Satisfaction:   95%. 
Room 455: 757 - 942 | Satisfaction:   90%. 
Room 456: 760 - 929 | Satisfaction:   95%. 
Room 457: 761 - 841 | Satisfaction:   90%. 
Room 458: 765 - 814 | Satisfaction:  100%. 
Room 459: 767 - 879 | Satisfaction:   95%. 
Room 460: 768 - 972 | Satisfaction:   90%. 
Room 461: 771 - 884 | Satisfaction:   95%. 
Room 462: 772 - 895 | Satisfaction:   90%. 
Room 463: 779 - 993 | Satisfaction:   95%. 
Room 464: 784 - 906 | Satisfaction:   90%. 
Room 465: 790 - 798 | Satisfaction:   90%. 
Room 466: 792 - 912 | Satisfaction:   85%. 
Room 467: 794 - 900 | Satisfaction:   80%. 
Room 468: 795 - 950 | Satisfaction:   90%. 
Room 469: 800 - 901 | Satisfaction:   90%. 
Room 470: 806 - 827 | Satisfaction:   95%. 
Room 471: 807 - 892 | Satisfaction:  100%. 
Room 472: 811 - 820 | Satisfaction:   55%. 
Room 473: 819 - 957 | Satisfaction:   90%. 
Room 474: 824 - 886 | Satisfaction:   95%. 
Room 475: 833 - 836 | Satisfaction:   95%. 
Room 476: 837 - 921 | Satisfaction:   90%. 
Room 477: 842 - 934 | Satisfaction:   95%. 
Room 478: 852 - 996 | Satisfaction:   95%. 
Room 479: 855 - 987 | Satisfaction:   95%. 
Room 480: 859 - 980 | Satisfaction:   90%. 
Room 481: 866 - 875 | Satisfaction:  100%. 
Room 482: 877 - 970 | Satisfaction:  100%. 
Room 483: 878 - 954 | Satisfaction:   85%. 
Room 484: 883 - 997 | Satisfaction:   50%. 
Room 485: 885 - 988 | Satisfaction:   85%. 
Room 486: 888 - 949 | Satisfaction:   90%. 
Room 487: 894 - 952 | Satisfaction:   90%. 
Room 488: 908 - 992 | Satisfaction:   85%. 
Room 489: 910 - 994 | Satisfaction:   85%. 
Room 490: 913 - 941 | Satisfaction:   95%. 
Room 491: 915 - 947 | Satisfaction:   90%. 
Room 492: 917 - 974 | Satisfaction:   90%. 
Room 493: 927 - 989 | Satisfaction:   95%. 
Room 494: 930 - 967 | Satisfaction:   90%. 
Room 495: 936 - 995 | Satisfaction:  100%. 
Room 496: 937 - 998 | Satisfaction:   95%. 
Room 497: 938 - 939 | Satisfaction:   90%. 
Room 498: 958 - 964 | Satisfaction:  100%. 
Room 499: 961 - 969 | Satisfaction:   90%. 
Room 500: 963 - 975 | Satisfaction:   85%. 
